PC1,PC2,PC3,PC4,PC5,PE,PP,PS
-6.460876660672776,0.005226094983923646,0.0013534690965502458,-0.0006216678219889149,-0.0009291485585050059,True,False,False
-6.461249947346819,0.0038831845294965994,-0.0006644723863522298,-0.0013393644062591244,0.0007024043497740528,True,False,False
-6.46192222806323,0.003982426257192619,-0.0033176467293015172,0.00023275232999472775,-2.0989404780498692e-05,True,False,False
-6.455715405315189,-0.011375331426068842,-0.0019136432283875344,-0.0023833035801012342,-0.0023620281735039226,True,False,False
-6.45870005110637,-0.010479983260620919,-0.004276117156720372,-0.0013498156326131857,-0.0003263112853186904,True,False,False
-6.462349413102376,-0.004673103876363631,-0.0028972633948287285,0.003776746938800431,-0.0025103557980528444,True,False,False
-6.464498384638031,0.010573368684960964,-0.0005783020482751631,-0.0007668532787796453,-0.0006257694512519493,True,False,False
-6.454030333899773,-0.00930749490469855,0.004144281806874763,-0.001202744411702382,-0.002817550184394472,True,False,False
-6.463921016116354,0.011002671107644855,-0.000397384726685966,-0.0002702602269475444,0.0009703424726480055,True,False,False
-6.461818465791755,0.0006287414979682198,0.0014133797291881176,0.004446133917884686,-0.000149030410647361,True,False,False
-8.928459526188576,-0.006072004786577297,-0.0003198688614987248,0.0022214755191195972,0.002276073505827933,False,False,True
-8.92821861594911,-0.006257200007991042,-0.0018570827538069445,-0.002063099753542339,0.003021950841174656,False,False,True
-8.924524809338708,0.005024505237245667,-0.0014319891523962153,0.00179250676425522,-0.0002618598913628291,False,False,True
-8.923766204706066,0.004352576184539873,-0.0017928886248612822,-0.0028754472814336816,-0.00042112026156833506,False,False,True
-8.924276055722984,0.004144215909655417,-0.0012478474259429212,-0.0004048126665721048,-0.0001630816758329962,False,False,True
-8.927334581481398,-0.0005411138446042574,-5.667142556598932e-05,0.001763134628796628,0.0005041542883281052,False,False,True
-8.927800038570245,-0.006300411727554717,-0.0002907154139953522,-0.0012640550198912523,-0.0010886472120645043,False,False,True
-8.927341063354106,0.0021325494535230386,0.00016756507992130175,0.002524595312585965,-0.00025766471795932367,False,False,True
-8.923603980379342,0.00527690104961085,-0.0022752065650404342,-0.001791863360140838,-0.0005199036434148075,False,False,True
